species_code,FIA_code,si_min,si_max,CurtisArney_b0,CurtisArney_b1,CurtisArney_b2,Dbw,Wykoff_b0,Wykoff_b1,Bark_b0,Bark_b1,small_tree_b0,small_tree_b1,small_tree_b2,small_tree_b3,small_tree_b4,ln_dds_b0,ln_dds_b1,ln_dds_b2,ln_dds_b3,ln_dds_b4,ln_dds_b5
HI,400,25,85,337.6684758,3.62726466,-0.32083172,0.3,4.5128,-4.9918,-0.60912,0.94347,1.8326,1.0015,-0.0207,1.408,-0.0005,-2.728289,1.548449,-0.000761,0.203837,0.570012,0.004399
CA,543,30,90,190.9797059,3.69278884,-0.52730469,0.3,4.9396,-8.1838,-0.33014,0.94215,4.2286,0.7857,-0.0178,4.6219,-0.3591,-1.068980,1.164191,0.0000001,0.084279,0.501307,0.009700
HB,68,15,90,484.7529797,3.93933286,-0.25998833,0.1,4.4207,-5.1435,-0.18338,0.95768,0.9276,1.0591,-0.0424,0.3529,0.3114,-0.833167,1.190567,0.0000001,0.193368,0.508738,-0.000056
RD,531,35,85,103.1767713,2.21695491,-0.3596216,0.2,3.7512,-2.5539,-0.33014,0.94215,0.9276,1.0591,-0.0424,0.3529,0.3114,-1.062539,1.174050,0.0000001,0.239942,0.411945,-0.005893
AB,531,35,85,526.1392688,3.89232121,-0.22587084,0.1,4.4772,-4.7206,-0.13040,0.97071,29.73,0.3631,-0.0127,16.7616,-0.6804,-1.251887,1.349337,-0.000447,0.193148,0.279322,-0.000287
AS,544,35,105,251.4042514,3.26919806,-0.35905996,0.2,4.4819,-4.5314,-0.34316,0.93964,1.6505,0.9096,-0.0644,125.7045,-0.8908,-2.954457,1.461691,0.0000001,0.377819,0.185353,0.007104
WA,541,35,95,91.35276617,6.99605268,-1.22937669,0.2,4.5959,-6.4497,-0.48735,0.93847,4.1492,0.7531,-0.0269,14.5384,-0.5811,-1.315283,1.216264,-0.000080,0.087907,0.487191,0.003424
HA,68,15,65,2620.585492,5.84993689,-0.18030935,0.2,4.4931,-4.6501,-0.33014,0.94215,0.9276,1.0591,-0.0424,0.3529,0.3114,-2.352258,1.746852,0.0000001,0.291502,-1.771604,0.003582
DW,531,15,45,863.0501053,4.38560239,-0.14812185,0.1,3.7301,-2.7758,-0.33014,0.94215,0.9276,1.0591,-0.4242,0.3529,0.3114,-2.540719,1.293125,-0.000856,0.368481,-0.611245,0.004257
PS,68,15,70,488.9349192,4.06503751,-0.27180547,0.2,4.4091,-4.8464,-0.42001,0.94264,0.9276,1.0591,-0.0424,0.3529,0.3114,-2.524455,1.479865,-0.001512,0.289171,0.243575,0.003369
BA,543,35,85,178.9307637,4.92861465,-0.63777014,0.2,4.6155,-6.2945,-0.25063,0.94349,4.2286,0.7857,-0.0178,4.6219,-0.3591,-0.897707,1.243091,0.0000001,0.090158,0.496594,-0.000465
GA,544,35,105,404.9692122,3.39019741,-0.255096,0.2,4.6155,-6.2945,-0.34316,0.93964,1.6505,0.9096,-0.0644,125.7045,-0.8908,-0.897707,1.243091,0.0000001,0.090158,0.496594,-0.000465
HL,901,25,120,778.9356784,4.20756452,-0.18734197,0.1,4.3734,-5.3135,-0.42001,0.94264,0.968,1.0301,-0.0468,0.1639,0.4127,-0.314922,0.927191,-0.0000001,0.103234,0.538379,0.003038
LB,43,15,50,265.7422693,3.59041788,-0.35232417,0.2,4.4009,-5.0560,-0.33014,0.94215,1.5341,1.0013,-0.0208,0.9986,-0.0012,-2.514589,1.459672,-0.001317,0.654209,.106808,-0.003582
HY,531,35,70,1467.643523,5.33438509,-0.17395792,0.1,4.0151,-4.3314,-0.33014,0.94215,29.73,0.3631,-0.0127,16.7616,-0.6804,-1.981934,1.456263,-0.002061,0.215249,-0.414064,0.004240
BN,602,35,85,285.8797853,3.52138815,-0.3193688,0.3,4.5018,-5.6123,-0.42001,0.94264,1.2898,0.9982,-0.0289,0.8546,0.0171,-2.354190,1.050171,-0.000154,0.425328,0.616257,0.001348
WN,602,35,85,93.71042027,3.6575094,-0.88246833,0.4,4.5018,-5.6123,-0.42001,0.94264,1.2898,0.9982,-0.0289,0.8546,0.0171,-2.354190,1.050171,-0.000154,0.425328,0.616257,0.001348
SU,611,30,125,290.90548,3.6239536,-0.3720123,0.2,4.5920,-5.1719,-0.39271,0.95997,1.0902,1.0298,-0.0354,0.7011,0.1178,-1.324147,1.395884,-0.000490,0.145539,0.256765,0.001993
YP,621,30,135,625.7696614,3.87320571,-0.23349496,0.2,4.6892,-4.9605,-0.22976,0.92408,1.2673,1.0,-0.0331,1.1149,0.0001,-2.513351,1.495351,-0.000756,0.530123,0.161718,0.000746
MG,694,35,125,585.6609078,3.41972033,-0.17661706,0.2,4.4004,-4.7519,-0.21140,0.94461,1.3213,0.9995,-0.0254,0.8549,-0.0016,-2.516823,1.454173,-0.000925,0.252335,0.243666,0.007223
CT,802,25,115,660.4996521,3.92077102,-0.21124354,0.2,4.6067,-5.2030,-0.21140,0.94461,1.2866,0.9962,-0.0355,1.4485,-0.0316,-1.239592,1.063360,-0.000092,0.243097,0.533202,-0.003084
MS,694,35,125,139.3315132,2.89981329,-0.48514023,0.2,4.4004,-4.7519,-0.21140,0.94461,1.3213,0.9995,-0.0254,0.8549,-0.0016,-1.477929,1.126474,-0.000267,0.134257,0.539000,0.005884
MV,694,15,75,184.1931837,2.84569124,-0.36952511,0.2,4.3609,-4.1423,-0.17978,0.92381,1.3213,0.9995,-0.0254,0.8549,-0.0016,-2.516823,1.454173,-0.000925,0.252335,0.243666,0.007223
ML,694,35,125,366.4744742,2.8733336,-0.1819814,0.2,4.4004,-4.7519,-0.21140,0.94461,1.3213,0.9995,-0.0254,0.8549,-0.0016,-1.477929,1.126474,-0.000267,0.134257,0.539000,0.005884
AP,68,15,40,574.0200612,3.86373895,-0.16318776,0.2,3.9678,-3.2510,-0.33014,0.94215,0.9276,1.0591,-0.0424,0.3529,0.3114,-1.746231,1.234133,-0.000017,0.285511,0.180572,0.002596
MB,68,15,55,750.1823388,4.14262749,-0.15940723,0.2,3.9613,-3.1993,-0.33014,0.94215,0.9276,1.0591,-0.0424,0.3529,0.3114,-1.746231,1.234133,-0.000017,0.285511,0.180572,0.002596
WT,691,30,105,163.9728054,2.76819717,-0.44098009,0.2,4.4330,-4.5383,-0.38140,0.97327,1.2721,0.9995,-0.0256,0.7447,-0.0019,-2.721782,1.599221,-0.000162,0.351271,0.133939,0.001783
BG,694,35,105,319.9788466,3.67313408,-0.30651323,0.2,4.3802,-4.7903,0.19899,0.88941,1.3213,0.9995,-0.0254,0.8549,-0.00160,-1.508549,1.306362,-0.000576,0.112403,0.121169,0.003356
TS,694,35,95,252.3566527,3.24398683,-0.33343129,0.2,4.4334,-4.5709,-0.15231,0.93442,1.3213,0.9995,-0.0254,0.8549,-0.0016,-2.555720,1.303035,0.0000001,0.319301,-0.109064,0.006498
HH,68,15,40,109.7324294,2.25025802,-0.41297463,0.2,4.0322,-3.0833,0.42001,0.94264,0.9276,1.0591,-0.0424,0.3529,0.3114,-1.431973,1.452294,-0.001475,0.061077,-0.208915,0.004856
SD,68,15,70,690.4917743,4.15983216,-0.18613455,0.2,4.1352,-3.7450,-0.25063,0.94349,0.9276,1.0591,-0.0424,0.3529,0.3114,-3.180040,1.355790,-0.000784,0.532236,0.077021,0.005170
RA,68,15,60,257.0532628,3.4047448,-0.30291274,0.2,4.0965,-3.9250,-0.33014,0.94215,0.9276,1.0591,-0.0424,0.3529,0.3114,-2.096616,1.254708,0.0000001,0.344067,0.176829,0.002656
SY,621,30,120,644.3567687,3.92045786,-0.21444786,0.1,4.6355,-5.2776,0.09192,0.96411,1.2673,1.0,-0.0331,1.1149,0.0001,-1.012995,1.272885,-0.000238,0.234530,0.234530,0.000406
CW,742,40,125,190.9797059,3.69278884,-0.52730469,0.1,4.9396,-8.1838,-0.25063,0.94349,1.2834,0.9571,-0.068,100.0,-0.9223,-1.068980,1.164191,0.0000001,0.084279,0.501307,0.009700
BT,743,30,90,66.6488871,135.4825559,-2.88622709,0.2,4.9396,-8.1838,-0.25063,0.94349,5.2188,0.6855,-0.0301,50.0071,-0.8695,-1.068980,1.164191,0.0000001,0.084279,0.501307,0.009700
BC,762,35,105,364.0247807,3.55987361,-0.27263121,0.1,4.3286,-4.0922,-0.12958,0.94152,7.1846,0.6781,-0.0222,13.9186,-0.5268,-2.610023,1.220310,-0.000234,0.520739,0.181418,0.003897
