fvs_spcd,fvspy_base_ecounit,ecounit_m221,ecounit_m222,ecounit_t231,ecounit_221,ecounit_222,ecounit_231t,ecounit_231l,ecounit_232,ecounit_234,ecounit_255,ecounit_411
OS,10,0.131771,0.217904,0.436986,0.083896,-0.005539,1e-06,0.49074,0.399497,0.938548,1.088152,1e-06
OT,None,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
OV,7,1e-06,1e-06,-0.506825,1e-06,0.074902,-0.083491,0.045341,0.062981,1e-06,-0.065887,1e-06
PC,6,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.156623
PD,6,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,-0.205608
PI,1,1e-06,1e-06,1e-06,-0.121082,1e-06,0.022498,0.097721,1e-06,1e-06,1e-06,1e-06
PO,11,-0.042633,-0.25256,-0.243734,-0.162999,-0.160463,-0.048463,1e-06,-0.081158,0.159575,0.171401,1e-06
PP,1,1e-06,1e-06,1e-06,0.020105,-0.297952,0.236656,1e-06,1e-06,1e-06,1e-06,1e-06
PS,6,0.111933,-0.023333,0.289483,0.480859,0.215139,-0.049742,0.24935,1e-06,0.363787,0.31787,1e-06
PU,6,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
QS,11,-0.854641,-0.590369,-0.160338,-0.190715,-0.329148,-0.237106,1e-06,-0.089086,-0.19085,-0.03683,1e-06
RA,6,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.712083,1e-06,0.489307,1e-06,-0.1476
RD,10,0.147356,0.184427,-0.070292,0.281057,0.322736,1e-06,0.452072,0.552309,0.255957,0.576422,1e-06
RL,11,-0.167102,-0.292978,0.084842,-0.229308,-0.287173,-0.014656,1e-06,-0.029868,0.210046,-0.360256,1e-06
RM,6,-0.010003,-0.15782,-0.04678,0.171661,0.170429,-0.031739,0.111637,1e-06,0.283893,1e-06,-0.340066
RO,1,1e-06,0.023769,0.058308,0.043448,0.036206,0.132129,0.163239,0.205401,0.433254,1e-06,1e-06
SA,6,1e-06,1e-06,1e-06,1e-06,1e-06,-0.025549,0.324111,1e-06,0.306793,1e-06,-0.342293
SB,1,1e-06,0.379877,-0.528365,0.30676,0.167634,0.178981,0.365419,0.236959,0.417591,1.151813,1e-06
SD,10,0.012432,1e-06,1e-06,0.160384,0.079502,1e-06,0.295282,0.057285,0.424776,1e-06,1e-06
SK,11,-0.294531,-0.267829,-0.113549,-0.146202,-0.078697,-0.142921,1e-06,-0.137069,0.044499,0.189435,1e-06
SM,5,-0.074887,-0.21626,1e-06,0.064792,1e-06,-0.207182,-0.145892,0.70785,0.28978,1e-06,1e-06
SN,6,-0.25241,1e-06,-0.27847,-0.201638,0.222377,-0.053375,0.006612,1e-06,0.0076,1e-06,1e-06
SO,10,-0.258781,1e-06,1e-06,-0.063421,-0.023554,1e-06,0.067643,0.087098,1e-06,1e-06,1e-06
SP,11,-0.569409,-0.252741,-0.265699,-0.694484,-0.285112,-0.504565,1e-06,-0.113258,0.114097,0.092458,1e-06
SR,6,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,-0.155764,1e-06,-0.112223,1e-06,1e-06
SS,5,-0.109616,0.068664,-0.981901,-0.066394,1e-06,-0.153195,0.075592,-0.040417,0.333962,0.393517,1e-06
SU,6,0.214847,-0.027123,-0.098745,0.311384,0.203471,-0.034773,0.115389,1e-06,0.129382,0.492438,1e-06
SV,6,-0.010003,-0.15782,-0.04678,0.171661,0.170429,-0.031739,0.111637,1e-06,0.283893,1e-06,-0.340066
SY,7,-0.308437,-0.468897,-0.573635,-0.163987,-0.291934,-0.312825,-0.20443,-0.167438,1e-06,0.12295,1e-06
TM,10,-0.157516,1e-06,1e-06,-0.107642,-0.034553,1e-06,0.025073,-0.150946,1e-06,1e-06,1e-06
TO,6,1e-06,1e-06,1e-06,1e-06,1e-06,-0.141504,0.987526,1e-06,1.109686,1.446041,1e-06
TS,6,1e-06,1e-06,1e-06,1e-06,1e-06,0.01815,0.688179,1e-06,0.202859,1e-06,1e-06
VP,10,-0.157516,1e-06,1e-06,-0.107642,-0.034553,1e-06,0.025073,-0.150946,1e-06,1e-06,1e-06
WA,5,-0.082465,-0.149061,-0.241677,-0.146698,1e-06,-0.208643,-0.015617,-0.004213,0.151449,-0.056292,1e-06
WE,11,0.11777,-0.235842,-0.43592,-0.036156,-0.229106,0.125704,1e-06,0.070072,-0.022479,0.23536,1e-06
WI,7,-0.316154,1e-06,1e-06,-0.36058,0.031358,0.151013,-0.120265,-0.059706,1e-06,-0.203095,1e-06
WK,6,0.197053,0.108061,-0.061415,-0.343207,-0.056293,-0.113493,0.076125,1e-06,0.122936,0.249718,-0.26175
WN,5,-0.071073,0.374367,-0.05879,-0.072556,1e-06,-0.015672,0.349608,0.255119,0.259162,0.352483,1e-06
WO,10,-0.191164,-0.155148,-0.154994,-0.063321,-0.031876,1e-06,0.16471,0.031862,0.089972,0.448682,1e-06
WP,1,1e-06,1e-06,1e-06,-0.06563,-0.450665,0.102041,1e-06,1e-06,1e-06,1e-06,1e-06
WT,6,1e-06,1e-06,1e-06,1e-06,0.18624,-1.048379,1e-06,1e-06,-0.054588,1e-06,1e-06
YP,10,-0.035012,1e-06,1e-06,0.114831,0.255257,1e-06,0.095383,0.113058,0.11154,1e-06,1e-06
